,Classifier,prediction,accuracy
0,NB,MultinomialNB(),1.0
1,K-NN,KNeighborsClassifier(n_neighbors=3),1.0
2,RF,"RandomForestClassifier(max_depth=3, n_estimators=50)",1.0
3,DT,DecisionTreeClassifier(),1.0
4,MLP,MLPClassifier(max_iter=100),1.0
5,SVM,"SVC(decision_function_shape='ovo', kernel='linear')",1.0
